date,hamon retraite,macron retraite,fillon retraite,le pen retraite,mélenchon retraite,query,time
"Dec 22, 2016","7.66666666666667","23","38.3333333333333","15.3333333333333","7.66666666666667","age","120"
"Dec 23, 2016","0","52.5714285714286","39.4285714285714","0","0","age","120"
"Dec 24, 2016","0","21.2307692307692","28.3076923076923","28.3076923076923","14.1538461538462","age","120"
"Dec 25, 2016","0","20.4444444444444","30.6666666666667","20.4444444444444","20.4444444444444","age","120"
"Dec 26, 2016","10.2222222222222","40.8888888888889","30.6666666666667","10.2222222222222","0","age","120"
"Dec 27, 2016","10.2222222222222","20.4444444444444","51.1111111111111","0","10.2222222222222","age","120"
"Dec 28, 2016","0","16.7272727272727","58.5454545454545","16.7272727272727","0","age","120"
"Dec 29, 2016","0","15.3333333333333","46","30.6666666666667","0","age","120"
"Dec 30, 2016","0","36.8","36.8","0","18.4","age","120"
"Dec 31, 2016","0","20.4444444444444","30.6666666666667","40.8888888888889","0","age","120"
"Jan 1, 2017","13.1428571428571","26.2857142857143","39.4285714285714","13.1428571428571","0","age","120"
"Jan 2, 2017","0","23","34.5","23","11.5","age","120"
"Jan 3, 2017","4.84210526315789","14.5263157894737","53.2631578947368","19.3684210526316","0","age","120"
"Jan 4, 2017","5.41176470588235","10.8235294117647","54.1176470588235","16.2352941176471","5.41176470588235","age","120"
"Jan 5, 2017","6.13333333333333","12.2666666666667","42.9333333333333","24.5333333333333","6.13333333333333","age","120"
"Jan 6, 2017","4.84210526315789","24.2105263157895","33.8947368421053","19.3684210526316","9.68421052631579","age","120"
"Jan 7, 2017","0","35.3846153846154","21.2307692307692","28.3076923076923","7.07692307692308","age","120"
"Jan 8, 2017","13.1428571428571","19.7142857142857","32.8571428571429","19.7142857142857","6.57142857142857","age","120"
"Jan 9, 2017","4.84210526315789","24.2105263157895","43.578947368421","14.5263157894737","4.84210526315789","age","120"
"Jan 10, 2017","11.5","34.5","34.5","11.5","0","age","120"
"Jan 11, 2017","5.75","23","34.5","23","5.75","age","120"
"Jan 12, 2017","6.13333333333333","18.4","55.2","6.13333333333333","6.13333333333333","age","120"
"Jan 13, 2017","9.2","18.4","27.6","27.6","9.2","age","120"
"Jan 14, 2017","12.2666666666667","24.5333333333333","30.6666666666667","18.4","6.13333333333333","age","120"
"Jan 15, 2017","7.66666666666667","38.3333333333333","19.1666666666667","15.3333333333333","11.5","age","120"
"Jan 16, 2017","10.8235294117647","32.4705882352941","32.4705882352941","10.8235294117647","5.41176470588235","age","120"
"Jan 17, 2017","12.5454545454545","37.6363636363636","25.0909090909091","16.7272727272727","0","age","120"
"Jan 18, 2017","19.7142857142857","26.2857142857143","26.2857142857143","13.1428571428571","6.57142857142857","age","120"
"Jan 19, 2017","11.5","23","34.5","15.3333333333333","7.66666666666667","age","120"
"Jan 20, 2017","15.3333333333333","35.7777777777778","30.6666666666667","0","10.2222222222222","age","120"
"Jan 21, 2017","18.4","24.5333333333333","42.9333333333333","6.13333333333333","0","age","120"
"Jan 22, 2017","39.4285714285714","22.530612244898","13.1428571428571","13.1428571428571","3.75510204081633","age","120"
"Jan 23, 2017","40.0645161290323","20.7741935483871","17.8064516129032","8.90322580645161","4.45161290322581","age","120"
"Jan 24, 2017","28","20","36","4","4","age","120"
"Jan 25, 2017","14.8387096774194","23.741935483871","26.7096774193548","23.741935483871","2.96774193548387","age","120"
"Jan 26, 2017","27.2592592592593","13.6296296296296","27.2592592592593","13.6296296296296","10.2222222222222","age","120"
"Jan 27, 2017","17.25","17.25","46","11.5","0","age","120"
"Jan 28, 2017","5.41176470588235","37.8823529411765","37.8823529411765","5.41176470588235","5.41176470588235","age","120"
"Jan 29, 2017","36.078431372549","19.843137254902","19.843137254902","10.8235294117647","5.41176470588235","age","120"
"Jan 30, 2017","20.8301886792453","29.5094339622642","26.0377358490566","10.4150943396226","5.20754716981132","age","120"
"Jan 31, 2017","13.9393939393939","25.0909090909091","33.4545454545455","11.1515151515152","8.36363636363636","age","120"
