date,hamon justice,macron justice,fillon justice,le pen justice,mélenchon justice,query,time
"Dec 22, 2016","0","30.6666666666667","30.6666666666667","30.6666666666667","0","age","120"
"Dec 23, 2016","0","0","0","0","0","age","120"
"Dec 24, 2016","0","0","0","0","0","age","120"
"Dec 25, 2016","0","0","92","0","0","age","120"
"Dec 26, 2016","0","92","0","0","0","age","120"
"Dec 27, 2016","0","92","0","0","0","age","120"
"Dec 28, 2016","0","0","0","0","0","age","120"
"Dec 29, 2016","0","0","0","0","0","age","120"
"Dec 30, 2016","0","92","0","0","0","age","120"
"Dec 31, 2016","0","0","0","92","0","age","120"
"Jan 1, 2017","0","0","92","0","0","age","120"
"Jan 2, 2017","0","92","0","0","0","age","120"
"Jan 3, 2017","0","0","0","0","0","age","120"
"Jan 4, 2017","0","0","0","0","0","age","120"
"Jan 5, 2017","0","92","0","0","0","age","120"
"Jan 6, 2017","0","0","0","0","0","age","120"
"Jan 7, 2017","0","92","0","0","0","age","120"
"Jan 8, 2017","0","0","22.2068965517241","0","69.7931034482759","age","120"
"Jan 9, 2017","0","0","0","0","0","age","120"
"Jan 10, 2017","0","0","0","0","92","age","120"
"Jan 11, 2017","0","0","0","92","0","age","120"
"Jan 12, 2017","0","0","0","0","0","age","120"
"Jan 13, 2017","0","92","0","0","0","age","120"
"Jan 14, 2017","0","0","0","0","0","age","120"
"Jan 15, 2017","46","0","0","46","0","age","120"
"Jan 16, 2017","0","0","0","0","0","age","120"
"Jan 17, 2017","0","92","0","0","0","age","120"
"Jan 18, 2017","0","0","0","0","0","age","120"
"Jan 19, 2017","0","46","0","46","0","age","120"
"Jan 20, 2017","0","92","0","0","0","age","120"
"Jan 21, 2017","0","92","0","0","0","age","120"
"Jan 22, 2017","45.1636363636364","0","23.4181818181818","0","23.4181818181818","age","120"
"Jan 23, 2017","61.3333333333333","30.6666666666667","0","0","0","age","120"
"Jan 24, 2017","55.2","0","36.8","0","0","age","120"
"Jan 25, 2017","18.6067415730337","12.4044943820225","60.9887640449438","0","0","age","120"
"Jan 26, 2017","0","22.530612244898","46.9387755102041","0","22.530612244898","age","120"
"Jan 27, 2017","15.841059602649","0","19.4966887417219","15.841059602649","40.8211920529801","age","120"
"Jan 28, 2017","0","0","21.8305084745763","21.8305084745763","48.3389830508475","age","120"
"Jan 29, 2017","31.4146341463415","0","60.5853658536585","0","0","age","120"
"Jan 30, 2017","0","27.8421052631579","49.6315789473684","14.5263157894737","0","age","120"
"Jan 31, 2017","0","19.0344827586207","23.7931034482759","28.551724137931","20.6206896551724","age","120"
