date,hamon écologie,macron écologie,fillon écologie,le pen écologie,mélenchon écologie,query,time
"Dec 22, 2016","0","0","0","0","0","age","120"
"Dec 23, 2016","46","0","46","0","0","age","120"
"Dec 24, 2016","0","0","0","0","0","age","120"
"Dec 25, 2016","0","0","0","0","0","age","120"
"Dec 26, 2016","0","0","0","0","0","age","120"
"Dec 27, 2016","0","0","0","0","0","age","120"
"Dec 28, 2016","0","0","0","0","0","age","120"
"Dec 29, 2016","0","0","0","0","0","age","120"
"Dec 30, 2016","0","0","0","0","0","age","120"
"Dec 31, 2016","0","0","0","0","0","age","120"
"Jan 1, 2017","0","0","0","0","0","age","120"
"Jan 2, 2017","0","0","0","0","0","age","120"
"Jan 3, 2017","0","0","0","0","0","age","120"
"Jan 4, 2017","0","0","92","0","0","age","120"
"Jan 5, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Jan 6, 2017","0","46","0","0","46","age","120"
"Jan 7, 2017","0","0","0","0","0","age","120"
"Jan 8, 2017","92","0","0","0","0","age","120"
"Jan 9, 2017","0","0","92","0","0","age","120"
"Jan 10, 2017","0","0","0","0","0","age","120"
"Jan 11, 2017","0","0","0","0","0","age","120"
"Jan 12, 2017","0","92","0","0","0","age","120"
"Jan 13, 2017","0","0","0","0","0","age","120"
"Jan 14, 2017","0","0","0","0","0","age","120"
"Jan 15, 2017","0","0","0","0","0","age","120"
"Jan 16, 2017","0","0","0","0","0","age","120"
"Jan 17, 2017","0","0","0","0","0","age","120"
"Jan 18, 2017","92","0","0","0","0","age","120"
"Jan 19, 2017","92","0","0","0","0","age","120"
"Jan 20, 2017","0","0","0","0","0","age","120"
"Jan 21, 2017","0","0","0","0","0","age","120"
"Jan 22, 2017","92","0","0","0","0","age","120"
"Jan 23, 2017","0","92","0","0","0","age","120"
"Jan 24, 2017","0","0","0","0","0","age","120"
"Jan 25, 2017","92","0","0","0","0","age","120"
"Jan 26, 2017","0","92","0","0","0","age","120"
"Jan 27, 2017","0","0","0","0","0","age","120"
"Jan 28, 2017","46","0","0","0","46","age","120"
"Jan 29, 2017","0","92","0","0","0","age","120"
"Jan 30, 2017","0","46","0","0","46","age","120"
"Jan 31, 2017","0","92","0","0","0","age","120"
"Feb 1, 2017","0","0","92","0","0","age","120"
"Feb 2, 2017","0","0","0","0","0","age","120"
"Feb 3, 2017","0","0","0","0","0","age","120"
"Feb 4, 2017","92","0","0","0","0","age","120"
"Feb 5, 2017","46.7076923076923","0","0","0","45.2923076923077","age","120"
"Feb 6, 2017","46","46","0","0","0","age","120"
"Feb 7, 2017","0","0","0","0","0","age","120"
"Feb 8, 2017","0","0","0","0","0","age","120"
"Feb 9, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Feb 10, 2017","0","92","0","0","0","age","120"
"Feb 11, 2017","0","46","0","0","46","age","120"
"Feb 12, 2017","0","0","0","0","0","age","120"
"Feb 13, 2017","0","0","0","0","0","age","120"
"Feb 14, 2017","46","46","0","0","0","age","120"
"Feb 15, 2017","0","0","0","0","0","age","120"
"Feb 16, 2017","46","0","0","0","46","age","120"
"Feb 17, 2017","0","0","0","0","0","age","120"
"Feb 18, 2017","0","0","0","0","0","age","120"
"Feb 19, 2017","92","0","0","0","0","age","120"
"Feb 20, 2017","0","92","0","0","0","age","120"
"Feb 21, 2017","0","0","0","0","92","age","120"
"Feb 22, 2017","0","0","0","0","92","age","120"
"Feb 23, 2017","0","0","0","0","0","age","120"
"Feb 24, 2017","0","0","0","0","92","age","120"
"Feb 25, 2017","0","92","0","0","0","age","120"
"Feb 26, 2017","46","46","0","0","0","age","120"
"Feb 27, 2017","0","46","0","0","46","age","120"
"Feb 28, 2017","0","0","0","0","0","age","120"
"Mar 1, 2017","0","31.0232558139535","31.0232558139535","0","29.953488372093","age","120"
"Mar 2, 2017","92","0","0","0","0","age","120"
"Mar 3, 2017","0","0","0","0","0","age","120"
"Mar 4, 2017","0","0","0","0","0","age","120"
"Mar 5, 2017","30.6666666666667","30.6666666666667","0","0","30.6666666666667","age","120"
"Mar 6, 2017","92","0","0","0","0","age","120"
"Mar 7, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Mar 8, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Mar 9, 2017","30.3181818181818","31.3636363636364","0","0","30.3181818181818","age","120"
"Mar 10, 2017","46","0","46","0","0","age","120"
"Mar 11, 2017","30.3853211009174","30.3853211009174","31.2293577981651","0","0","age","120"
"Mar 12, 2017","0","0","0","0","0","age","120"
"Mar 13, 2017","0","0","0","0","0","age","120"
"Mar 14, 2017","0","0","0","0","0","age","120"
"Mar 15, 2017","0","0","0","0","92","age","120"
"Mar 16, 2017","23.1869918699187","45.6260162601626","0","0","23.1869918699187","age","120"
"Mar 17, 2017","92","0","0","0","0","age","120"
"Mar 18, 2017","0","0","0","0","0","age","120"
"Mar 19, 2017","18.289156626506","55.421686746988","18.289156626506","0","0","age","120"
"Mar 20, 2017","0","0","45.1929824561403","0","46.8070175438597","age","120"
"Mar 21, 2017","23","23","23","0","23","age","120"
"Mar 22, 2017","0","0","0","0","92","age","120"
"Mar 23, 2017","30.8409090909091","15.1590909090909","15.1590909090909","0","30.8409090909091","age","120"
"Mar 24, 2017","0","0","92","0","0","age","120"
"Mar 25, 2017","46.6478873239437","0","0","0","45.3521126760563","age","120"
