date,hamon twitter,macron twitter,fillon twitter,le pen twitter,mélenchon twitter,query,time
"Dec 22, 2016","0","29.44","11.04","40.48","11.04","age","120"
"Dec 23, 2016","8.625","8.625","8.625","25.875","40.25","age","120"
"Dec 24, 2016","0","20.125","0","51.75","20.125","age","120"
"Dec 25, 2016","0","9.2","15.3333333333333","36.8","30.6666666666667","age","120"
"Dec 26, 2016","0","0","27.6","64.4","0","age","120"
"Dec 27, 2016","0","15.8620689655172","9.51724137931035","41.2413793103448","25.3793103448276","age","120"
"Dec 28, 2016","9.2","9.2","0","58.2666666666667","15.3333333333333","age","120"
"Dec 29, 2016","0","20","0","60","12","age","120"
"Dec 30, 2016","0","9.85714285714286","16.4285714285714","65.7142857142857","0","age","120"
"Dec 31, 2016","0","10.6153846153846","10.6153846153846","60.1538461538462","10.6153846153846","age","120"
"Jan 1, 2017","8.625","8.625","8.625","46","20.125","age","120"
"Jan 2, 2017","0","8.76190476190476","8.76190476190476","30.6666666666667","43.8095238095238","age","120"
"Jan 3, 2017","5.93548387096774","5.93548387096774","14.8387096774194","59.3548387096774","5.93548387096774","age","120"
"Jan 4, 2017","0","9.2","6.13333333333333","42.9333333333333","33.7333333333333","age","120"
"Jan 5, 2017","8","8","8","68","0","age","120"
"Jan 6, 2017","0","18.4","22.08","36.8","14.72","age","120"
"Jan 7, 2017","6.9","11.5","6.9","46","20.7","age","120"
"Jan 8, 2017","9.2","12.2666666666667","9.2","42.9333333333333","18.4","age","120"
"Jan 9, 2017","5.11111111111111","5.11111111111111","10.2222222222222","40.8888888888889","30.6666666666667","age","120"
"Jan 10, 2017","8.625","8.625","5.75","63.25","5.75","age","120"
"Jan 11, 2017","9.2","23","9.2","50.6","0","age","120"
"Jan 12, 2017","0","12.88","18.4","47.84","12.88","age","120"
"Jan 13, 2017","0","13.5294117647059","18.9411764705882","32.4705882352941","27.0588235294118","age","120"
"Jan 14, 2017","0","17.8507462686567","5.49253731343284","45.3134328358209","23.3432835820896","age","120"
"Jan 15, 2017","0","18.8717948717949","11.7948717948718","54.2564102564103","7.07692307692308","age","120"
"Jan 16, 2017","5.11111111111111","20.4444444444444","17.8888888888889","15.3333333333333","33.2222222222222","age","120"
"Jan 17, 2017","15.3333333333333","25.5555555555556","12.7777777777778","33.2222222222222","5.11111111111111","age","120"
"Jan 18, 2017","13.1428571428571","21.9047619047619","0","43.8095238095238","13.1428571428571","age","120"
"Jan 19, 2017","10.5142857142857","10.5142857142857","5.25714285714286","65.7142857142857","0","age","120"
"Jan 20, 2017","3.83333333333333","11.5","9.58333333333333","57.5","9.58333333333333","age","120"
"Jan 21, 2017","11.5","11.5","0","57.5","11.5","age","120"
"Jan 22, 2017","33.12","12.2666666666667","9.81333333333333","14.72","22.08","age","120"
"Jan 23, 2017","18.8717948717949","8.25641025641026","7.07692307692308","43.6410256410256","14.1538461538462","age","120"
"Jan 24, 2017","26.1081081081081","7.45945945945946","13.6756756756757","28.5945945945946","16.1621621621622","age","120"
"Jan 25, 2017","19.3086419753086","12.4938271604938","31.8024691358025","13.6296296296296","14.7654320987654","age","120"
"Jan 26, 2017","14.95","9.2","42.55","19.55","5.75","age","120"
"Jan 27, 2017","12.4938271604938","5.67901234567901","45.4320987654321","17.037037037037","11.358024691358","age","120"
"Jan 28, 2017","17.0857142857143","5.25714285714286","27.6","27.6","14.4571428571429","age","120"
"Jan 29, 2017","28.0842105263158","7.74736842105263","13.5578947368421","22.2736842105263","20.3368421052632","age","120"
"Jan 30, 2017","23.2771084337349","12.1927710843374","17.7349397590361","29.9277108433735","8.86746987951807","age","120"
"Jan 31, 2017","13.5578947368421","8.71578947368421","33.8947368421053","21.3052631578947","14.5263157894737","age","120"
"Feb 1, 2017","3.50476190476191","5.25714285714286","42.9333333333333","21.9047619047619","18.4","age","120"
"Feb 2, 2017","2.46428571428571","7.39285714285714","46","23","13.1428571428571","age","120"
"Feb 3, 2017","6.94339622641509","7.81132075471698","45.1320754716981","20.8301886792453","11.2830188679245","age","120"
"Feb 4, 2017","2.90526315789474","10.6526315789474","34.8631578947368","34.8631578947368","8.71578947368421","age","120"
"Feb 5, 2017","12.5894736842105","4.84210526315789","30.021052631579","24.2105263157895","20.3368421052632","age","120"
"Feb 6, 2017","2.10687022900763","6.3206106870229","47.7557251908397","26.6870229007634","9.12977099236641","age","120"
"Feb 7, 2017","6.71532846715328","16.7883211678832","38.2773722627737","15.4452554744526","14.7737226277372","age","120"
"Feb 8, 2017","1.68807339449541","12.6605504587156","37.9816513761468","27.0091743119266","12.6605504587156","age","120"
"Feb 9, 2017","0","11.1208791208791","28.3076923076923","50.5494505494506","2.02197802197802","age","120"
"Feb 10, 2017","2.35897435897436","5.8974358974359","15.3333333333333","62.5128205128205","5.8974358974359","age","120"
"Feb 11, 2017","8","18.6666666666667","24","29.3333333333333","12","age","120"
"Feb 12, 2017","5.93548387096774","17.8064516129032","26.7096774193548","28.1935483870968","13.3548387096774","age","120"
"Feb 13, 2017","3.17241379310345","12.6896551724138","22.2068965517241","46","7.93103448275862","age","120"
"Feb 14, 2017","9.61194029850746","16.4776119402985","24.7164179104478","27.4626865671642","13.7313432835821","age","120"
"Feb 15, 2017","6.69090909090909","21.7454545454545","21.7454545454545","30.1090909090909","11.7090909090909","age","120"
"Feb 16, 2017","5.41176470588235","20.7450980392157","26.156862745098","29.7647058823529","9.92156862745098","age","120"
"Feb 17, 2017","8.97560975609756","15.7073170731707","23.5609756097561","25.8048780487805","17.9512195121951","age","120"
"Feb 18, 2017","6.13333333333333","27.6","18.4","35.2666666666667","4.6","age","120"
"Feb 19, 2017","6.06593406593407","13.1428571428571","16.1758241758242","35.3846153846154","21.2307692307692","age","120"
"Feb 20, 2017","8.21428571428572","19.7142857142857","14.7857142857143","32.8571428571429","16.4285714285714","age","120"
"Feb 21, 2017","4","12","13.3333333333333","49.3333333333333","13.3333333333333","age","120"
"Feb 22, 2017","5.81052631578947","25.1789473684211","7.74736842105263","39.7052631578947","13.5578947368421","age","120"
"Feb 23, 2017","2.45333333333333","20.8533333333333","8.58666666666667","34.3466666666667","25.76","age","120"
"Feb 24, 2017","7.36","17.1733333333333","18.4","31.8933333333333","17.1733333333333","age","120"
"Feb 25, 2017","5.49253731343284","8.23880597014925","17.8507462686567","43.9402985074627","16.4776119402985","age","120"
"Feb 26, 2017","7.07692307692308","15.5692307692308","16.9846153846154","39.6307692307692","12.7384615384615","age","120"
"Feb 27, 2017","4.90666666666667","11.04","13.4933333333333","42.9333333333333","19.6266666666667","age","120"
"Feb 28, 2017","11.7090909090909","18.4","5.01818181818182","33.4545454545455","23.4181818181818","age","120"
"Mar 1, 2017","4.84210526315789","8.07017543859649","51.1111111111111","20.4444444444444","7.53216374269006","age","120"
"Mar 2, 2017","2.42105263157895","10.6526315789474","23.7263157894737","49.3894736842105","5.81052631578947","age","120"
"Mar 3, 2017","3.47169811320755","8.67924528301887","48.6037735849057","25.4591194968553","5.78616352201258","age","120"
"Mar 4, 2017","4.33962264150943","8.67924528301887","46","24.3018867924528","8.67924528301887","age","120"
"Mar 5, 2017","6.17073170731707","8.41463414634146","56.0975609756098","19.0731707317073","2.24390243902439","age","120"
"Mar 6, 2017","3.72972972972973","3.72972972972973","65.8918918918919","18.6486486486486","0","age","120"
"Mar 7, 2017","8.58666666666667","15.9466666666667","34.3466666666667","13.4933333333333","19.6266666666667","age","120"
"Mar 8, 2017","4.84210526315789","25.8245614035088","25.8245614035088","24.2105263157895","11.2982456140351","age","120"
"Mar 9, 2017","13.8630136986301","18.9041095890411","16.3835616438356","34.027397260274","8.82191780821918","age","120"
"Mar 10, 2017","8.49230769230769","14.1538461538462","15.5692307692308","35.3846153846154","18.4","age","120"
"Mar 11, 2017","15.7073170731707","14.5853658536585","6.73170731707317","41.5121951219512","13.4634146341463","age","120"
"Mar 12, 2017","9.68421052631579","16.9473684210526","21.7894736842105","31.4736842105263","12.1052631578947","age","120"
"Mar 13, 2017","9.58333333333333","28.75","32.5833333333333","17.25","3.83333333333333","age","120"
"Mar 14, 2017","4.6","16.56","42.32","14.72","13.8","age","120"
"Mar 15, 2017","6.43356643356643","11.5804195804196","30.2377622377622","37.958041958042","5.79020979020979","age","120"
"Mar 16, 2017","10.4545454545455","11.5","13.5909090909091","40.7727272727273","15.6818181818182","age","120"
"Mar 17, 2017","6.96969696969697","8.36363636363636","23.6969696969697","34.8484848484849","18.1212121212121","age","120"
"Mar 18, 2017","3.91489361702128","10.7659574468085","16.6382978723404","25.4468085106383","35.2340425531915","age","120"
"Mar 19, 2017","23.6969696969697","18.1212121212121","12.5454545454545","19.5151515151515","18.1212121212121","age","120"
"Mar 20, 2017","6.46875","23.71875","12.21875","35.9375","13.65625","age","120"
"Mar 21, 2017","8.14159292035398","17.0973451327434","13.8407079646018","26.8672566371681","26.0530973451327","age","120"
"Mar 22, 2017","6.37623762376238","15.4851485148515","14.5742574257426","21.8613861386139","33.7029702970297","age","120"
"Mar 23, 2017","4.87878787878788","18.8181818181818","30.6666666666667","22.3030303030303","15.3333333333333","age","120"
"Mar 24, 2017","7.14563106796116","14.2912621359223","31.2621359223301","23.2233009708738","16.0776699029126","age","120"
"Mar 25, 2017","12.7777777777778","7.66666666666667","30.6666666666667","31.9444444444444","8.94444444444444","age","120"
"Mar 26, 2017","7.24409448818898","15.9370078740157","16.6614173228346","16.6614173228346","35.496062992126","age","120"
"Mar 27, 2017","10.8235294117647","18.0392156862745","15.3333333333333","36.078431372549","11.7254901960784","age","120"
"Mar 28, 2017","8.71578947368421","13.5578947368421","11.6210526315789","30.021052631579","28.0842105263158","age","120"
"Mar 29, 2017","14.354609929078","13.0496453900709","9.78723404255319","26.7517730496454","28.0567375886525","age","120"
"Mar 30, 2017","7.07692307692308","25.4769230769231","31.1384615384615","12.7384615384615","15.5692307692308","age","120"
"Mar 31, 2017","11.5","17.25","24.15","25.3","13.8","age","120"
"Apr 1, 2017","15.5806451612903","22.258064516129","11.8709677419355","21.5161290322581","20.7741935483871","age","120"
"Apr 2, 2017","17.6923076923077","11.7948717948718","7.07692307692308","22.4102564102564","33.025641025641","age","120"
"Apr 3, 2017","11.6210526315789","14.5263157894737","13.5578947368421","32.9263157894737","19.3684210526316","age","120"
"Apr 4, 2017","5.84126984126984","14.6031746031746","13.1428571428571","35.7777777777778","22.6349206349206","age","120"
"Apr 5, 2017","11.5","13.5909090909091","9.40909090909091","30.3181818181818","27.1818181818182","age","120"
"Apr 6, 2017","7.4962962962963","21.8074074074074","34.0740740740741","14.3111111111111","14.3111111111111","age","120"
"Apr 7, 2017","6.67741935483871","20.0322580645161","22.258064516129","18.5483870967742","24.4838709677419","age","120"
"Apr 8, 2017","6.3448275862069","14.8045977011494","9.51724137931035","30.6666666666667","30.6666666666667","age","120"
"Apr 9, 2017","6.41860465116279","12.8372093023256","17.1162790697674","10.6976744186047","44.9302325581395","age","120"
"Apr 10, 2017","5.152","13.984","16.928","29.44","26.496","age","120"
"Apr 11, 2017","5.1830985915493","18.1408450704225","24.6197183098592","20.7323943661972","23.3239436619718","age","120"
"Apr 12, 2017","4.33962264150943","12.1509433962264","13.0188679245283","19.0943396226415","43.3962264150943","age","120"
"Apr 13, 2017","8.76190476190476","12.2666666666667","20.152380952381","17.5238095238095","33.2952380952381","age","120"
"Apr 14, 2017","7.23595505617978","12.4044943820225","18.6067415730337","26.876404494382","26.876404494382","age","120"
"Apr 15, 2017","6.85106382978723","8.80851063829787","16.6382978723404","22.5106382978723","37.1914893617021","age","120"
"Apr 16, 2017","6.29059829059829","11.008547008547","18.0854700854701","22.017094017094","34.5982905982906","age","120"
"Apr 17, 2017","3.65562913907285","28.0264900662252","10.9668874172185","20.1059602649007","29.2450331125828","age","120"
"Apr 18, 2017","9.0989010989011","19.2087912087912","19.2087912087912","13.1428571428571","31.3406593406593","age","120"
"Apr 19, 2017","9.80327868852459","12.8196721311475","15.8360655737705","27.9016393442623","25.6393442622951","age","120"
