date,hamon présidentiel,macron présidentiel,fillon présidentiel,le pen présidentiel,mélenchon présidentiel,query,time
"Dec 22, 2016","0","46","0","0","46","age","120"
"Dec 23, 2016","0","23","23","46","0","age","120"
"Dec 24, 2016","0","46","0","46","0","age","120"
"Dec 25, 2016","0","92","0","0","0","age","120"
"Dec 26, 2016","0","0","0","0","0","age","120"
"Dec 27, 2016","0","0","0","0","0","age","120"
"Dec 28, 2016","0","0","0","92","0","age","120"
"Dec 29, 2016","0","30.6666666666667","30.6666666666667","30.6666666666667","0","age","120"
"Dec 30, 2016","0","0","0","92","0","age","120"
"Dec 31, 2016","0","0","0","0","92","age","120"
"Jan 1, 2017","0","0","0","92","0","age","120"
"Jan 2, 2017","0","46","46","0","0","age","120"
"Jan 3, 2017","18.4","0","18.4","55.2","0","age","120"
"Jan 4, 2017","0","26.7096774193548","0","65.2903225806452","0","age","120"
"Jan 5, 2017","0","30.6666666666667","30.6666666666667","30.6666666666667","0","age","120"
"Jan 6, 2017","46","46","0","0","0","age","120"
"Jan 7, 2017","0","0","0","92","0","age","120"
"Jan 8, 2017","0","30.6666666666667","0","61.3333333333333","0","age","120"
"Jan 9, 2017","0","0","30.6666666666667","30.6666666666667","30.6666666666667","age","120"
"Jan 10, 2017","0","30.6666666666667","0","61.3333333333333","0","age","120"
"Jan 11, 2017","30.6666666666667","30.6666666666667","0","0","30.6666666666667","age","120"
"Jan 12, 2017","0","92","0","0","0","age","120"
"Jan 13, 2017","0","46","0","46","0","age","120"
"Jan 14, 2017","0","18.4","18.4","36.8","18.4","age","120"
"Jan 15, 2017","0","92","0","0","0","age","120"
"Jan 16, 2017","0","36.3720930232558","19.2558139534884","0","36.3720930232558","age","120"
"Jan 17, 2017","0","46","46","0","0","age","120"
"Jan 18, 2017","0","46","0","46","0","age","120"
"Jan 19, 2017","0","92","0","0","0","age","120"
"Jan 20, 2017","15.0545454545455","15.0545454545455","31.7818181818182","30.1090909090909","0","age","120"
