date,hamon économique,macron économique,fillon économique,le pen économique,mélenchon économique,query,time
"Dec 22, 2016","0","92","0","0","0","age","120"
"Dec 23, 2016","0","0","0","0","0","age","120"
"Dec 24, 2016","0","46","46","0","0","age","120"
"Dec 25, 2016","0","92","0","0","0","age","120"
"Dec 26, 2016","0","0","0","0","0","age","120"
"Dec 27, 2016","0","0","0","0","0","age","120"
"Dec 28, 2016","0","92","0","0","0","age","120"
"Dec 29, 2016","0","92","0","0","0","age","120"
"Dec 30, 2016","0","92","0","0","0","age","120"
"Dec 31, 2016","0","0","0","0","0","age","120"
"Jan 1, 2017","0","0","0","0","0","age","120"
"Jan 2, 2017","0","92","0","0","0","age","120"
"Jan 3, 2017","0","0","92","0","0","age","120"
"Jan 4, 2017","0","92","0","0","0","age","120"
"Jan 5, 2017","0","92","0","0","0","age","120"
"Jan 6, 2017","0","0","0","0","0","age","120"
"Jan 7, 2017","0","46","46","0","0","age","120"
"Jan 8, 2017","0","0","0","0","0","age","120"
"Jan 9, 2017","0","0","92","0","0","age","120"
"Jan 10, 2017","0","92","0","0","0","age","120"
"Jan 11, 2017","0","69","23","0","0","age","120"
"Jan 12, 2017","0","61.3333333333333","30.6666666666667","0","0","age","120"
"Jan 13, 2017","0","92","0","0","0","age","120"
"Jan 14, 2017","0","0","0","0","0","age","120"
"Jan 15, 2017","0","92","0","0","0","age","120"
"Jan 16, 2017","0","46","0","0","46","age","120"
"Jan 17, 2017","0","61.3333333333333","0","0","30.6666666666667","age","120"
"Jan 18, 2017","0","92","0","0","0","age","120"
"Jan 19, 2017","0","55.2","36.8","0","0","age","120"
"Jan 20, 2017","0","92","0","0","0","age","120"
"Jan 21, 2017","0","46","0","0","46","age","120"
"Jan 22, 2017","0","0","0","0","0","age","120"
"Jan 23, 2017","0","30.6666666666667","30.6666666666667","0","30.6666666666667","age","120"
"Jan 24, 2017","0","46","0","0","46","age","120"
"Jan 25, 2017","0","46","46","0","0","age","120"
"Jan 26, 2017","0","0","46","0","46","age","120"
"Jan 27, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Jan 28, 2017","0","0","0","0","0","age","120"
"Jan 29, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Jan 30, 2017","0","0","46","0","46","age","120"
"Jan 31, 2017","0","78.8571428571428","0","0","13.1428571428571","age","120"
"Feb 1, 2017","0","61.3333333333333","15.3333333333333","0","15.3333333333333","age","120"
"Feb 2, 2017","0","39.4285714285714","26.2857142857143","0","26.2857142857143","age","120"
"Feb 3, 2017","0","46","46","0","0","age","120"
"Feb 4, 2017","0","0","92","0","0","age","120"
"Feb 5, 2017","0","92","0","0","0","age","120"
"Feb 6, 2017","0","36.8","36.8","0","18.4","age","120"
"Feb 7, 2017","0","36.8","55.2","0","0","age","120"
"Feb 8, 2017","0","30.6666666666667","61.3333333333333","0","0","age","120"
"Feb 9, 2017","0","46","0","0","46","age","120"
"Feb 10, 2017","0","55.2","0","0","36.8","age","120"
"Feb 11, 2017","0","55.2","36.8","0","0","age","120"
"Feb 12, 2017","0","92","0","0","0","age","120"
"Feb 13, 2017","0","46","46","0","0","age","120"
"Feb 14, 2017","0","46","0","0","46","age","120"
"Feb 15, 2017","0","92","0","0","0","age","120"
"Feb 16, 2017","0","0","0","0","92","age","120"
"Feb 17, 2017","0","46","0","0","46","age","120"
"Feb 18, 2017","0","0","0","0","92","age","120"
"Feb 19, 2017","0","0","0","0","92","age","120"
"Feb 20, 2017","0","26.2857142857143","26.2857142857143","0","39.4285714285714","age","120"
"Feb 21, 2017","0","46","0","0","46","age","120"
