date,hamon chomage,macron chomage,fillon chomage,le pen chomage,mélenchon chomage,query,time
"Dec 22, 2016","0","0","92","0","0","age","120"
"Dec 23, 2016","0","0","0","0","0","age","120"
"Dec 24, 2016","0","0","0","0","92","age","120"
"Dec 25, 2016","0","0","0","0","0","age","120"
"Dec 26, 2016","0","46","46","0","0","age","120"
"Dec 27, 2016","0","0","92","0","0","age","120"
"Dec 28, 2016","0","92","0","0","0","age","120"
"Dec 29, 2016","0","0","0","0","0","age","120"
"Dec 30, 2016","0","92","0","0","0","age","120"
"Dec 31, 2016","0","0","0","0","0","age","120"
"Jan 1, 2017","0","46","46","0","0","age","120"
"Jan 2, 2017","0","0","46","0","46","age","120"
"Jan 3, 2017","0","0","92","0","0","age","120"
"Jan 4, 2017","0","30.6666666666667","61.3333333333333","0","0","age","120"
"Jan 5, 2017","0","0","92","0","0","age","120"
"Jan 6, 2017","0","0","92","0","0","age","120"
"Jan 7, 2017","0","0","0","0","0","age","120"
"Jan 8, 2017","0","61.3333333333333","30.6666666666667","0","0","age","120"
"Jan 9, 2017","0","40","52","0","0","age","120"
"Jan 10, 2017","0","0","92","0","0","age","120"
"Jan 11, 2017","0","0","92","0","0","age","120"
"Jan 12, 2017","0","0","0","0","0","age","120"
"Jan 13, 2017","0","92","0","0","0","age","120"
"Jan 14, 2017","0","46","46","0","0","age","120"
"Jan 15, 2017","0","0","0","0","0","age","120"
"Jan 16, 2017","0","46","23","0","23","age","120"
"Jan 17, 2017","0","0","92","0","0","age","120"
"Jan 18, 2017","0","92","0","0","0","age","120"
"Jan 19, 2017","0","0","92","0","0","age","120"
"Jan 20, 2017","0","0","0","0","0","age","120"
"Jan 21, 2017","0","0","0","0","0","age","120"
"Jan 22, 2017","0","46","46","0","0","age","120"
"Jan 23, 2017","0","46","46","0","0","age","120"
"Jan 24, 2017","0","30.6666666666667","61.3333333333333","0","0","age","120"
"Jan 25, 2017","0","49.319587628866","30.3505154639175","0","12.3298969072165","age","120"
"Jan 26, 2017","0","29.9","62.1","0","0","age","120"
"Jan 27, 2017","0","46","46","0","0","age","120"
"Jan 28, 2017","0","46","46","0","0","age","120"
"Jan 29, 2017","0","31.3636363636364","60.6363636363636","0","0","age","120"
"Jan 30, 2017","0","0","46","0","46","age","120"
"Jan 31, 2017","0","52","40","0","0","age","120"
"Feb 1, 2017","0","18.6875","73.3125","0","0","age","120"
"Feb 2, 2017","0","62.1","29.9","0","0","age","120"
"Feb 3, 2017","0","0","92","0","0","age","120"
"Feb 4, 2017","0","92","0","0","0","age","120"
