date,hamon éducation,macron éducation,fillon éducation,le pen éducation,mélenchon éducation,query,time
"Dec 22, 2016","0","0","0","0","0","age","120"
"Dec 23, 2016","0","0","0","0","92","age","120"
"Dec 24, 2016","0","0","0","0","0","age","120"
"Dec 25, 2016","0","0","0","0","0","age","120"
"Dec 26, 2016","92","0","0","0","0","age","120"
"Dec 27, 2016","0","0","0","0","0","age","120"
"Dec 28, 2016","0","92","0","0","0","age","120"
"Dec 29, 2016","0","0","0","0","0","age","120"
"Dec 30, 2016","0","0","0","0","0","age","120"
"Dec 31, 2016","0","92","0","0","0","age","120"
"Jan 1, 2017","0","0","0","0","0","age","120"
"Jan 2, 2017","0","92","0","0","0","age","120"
"Jan 3, 2017","0","0","0","0","0","age","120"
"Jan 4, 2017","0","0","0","0","0","age","120"
"Jan 5, 2017","0","0","0","0","0","age","120"
"Jan 6, 2017","0","0","0","0","0","age","120"
"Jan 7, 2017","0","0","0","0","0","age","120"
"Jan 8, 2017","0","0","0","0","0","age","120"
"Jan 9, 2017","0","0","0","0","0","age","120"
"Jan 10, 2017","0","0","0","0","0","age","120"
"Jan 11, 2017","92","0","0","0","0","age","120"
"Jan 12, 2017","0","0","92","0","0","age","120"
"Jan 13, 2017","0","45.5533980582524","23.2233009708738","0","23.2233009708738","age","120"
"Jan 14, 2017","0","0","0","0","0","age","120"
"Jan 15, 2017","46","46","0","0","0","age","120"
"Jan 16, 2017","0","41.0714285714286","30.3928571428571","0","20.5357142857143","age","120"
"Jan 17, 2017","0","0","0","0","0","age","120"
"Jan 18, 2017","0","0","0","0","0","age","120"
"Jan 19, 2017","92","0","0","0","0","age","120"
"Jan 20, 2017","0","0","0","0","0","age","120"
"Jan 21, 2017","92","0","0","0","0","age","120"
"Jan 22, 2017","46","22.5964912280702","23.4035087719298","0","0","age","120"
"Jan 23, 2017","61.3333333333333","0","0","0","30.6666666666667","age","120"
"Jan 24, 2017","92","0","0","0","0","age","120"
"Jan 25, 2017","92","0","0","0","0","age","120"
"Jan 26, 2017","92","0","0","0","0","age","120"
"Jan 27, 2017","0","0","0","0","0","age","120"
"Jan 28, 2017","0","0","92","0","0","age","120"
"Jan 29, 2017","46.4070796460177","22.7964601769912","22.7964601769912","0","0","age","120"
"Jan 30, 2017","61.7534246575342","15.1232876712329","15.1232876712329","0","0","age","120"
"Jan 31, 2017","30.6666666666667","30.6666666666667","30.6666666666667","0","0","age","120"
"Feb 1, 2017","46","0","0","0","46","age","120"
"Feb 2, 2017","23.2233009708738","0","45.5533980582524","0","23.2233009708738","age","120"
