date,hamon politique,macron politique,fillon politique,le pen politique,mélenchon politique,query,time
"Mar 22, 2017","8.36363636363636","25.0909090909091","20.9090909090909","12.5454545454545","25.0909090909091","age","30"
"Mar 23, 2017","7.66666666666667","23","46","5.11111111111111","10.2222222222222","age","30"
"Mar 24, 2017","2.875","14.375","61.8125","5.75","7.1875","age","30"
"Mar 25, 2017","7.07692307692308","17.6923076923077","42.4615384615385","10.6153846153846","14.1538461538462","age","30"
"Mar 26, 2017","12.5454545454545","25.0909090909091","33.4545454545455","8.36363636363636","12.5454545454545","age","30"
"Mar 27, 2017","11.5","28.75","17.25","17.25","17.25","age","30"
"Mar 28, 2017","12.2666666666667","18.4","18.4","30.6666666666667","12.2666666666667","age","30"
"Mar 29, 2017","10.8235294117647","32.4705882352941","10.8235294117647","27.0588235294118","10.8235294117647","age","30"
"Mar 30, 2017","13.8","27.6","18.4","18.4","13.8","age","30"
"Mar 31, 2017","6.13333333333333","24.5333333333333","24.5333333333333","24.5333333333333","12.2666666666667","age","30"
"Apr 1, 2017","15.3333333333333","23","15.3333333333333","15.3333333333333","23","age","30"
"Apr 2, 2017","0","29.0526315789474","19.3684210526316","24.2105263157895","19.3684210526316","age","30"
"Apr 3, 2017","6.57142857142857","26.2857142857143","13.1428571428571","19.7142857142857","26.2857142857143","age","30"
"Apr 4, 2017","8.76190476190476","21.9047619047619","21.9047619047619","17.5238095238095","21.9047619047619","age","30"
"Apr 5, 2017","11.5","26.8333333333333","19.1666666666667","19.1666666666667","15.3333333333333","age","30"
"Apr 6, 2017","5.11111111111111","51.1111111111111","18.7407407407407","10.2222222222222","6.81481481481481","age","30"
"Apr 7, 2017","1.4375","71.875","11.5","2.875","4.3125","age","30"
"Apr 8, 2017","4","52","8","8","20","age","30"
"Apr 9, 2017","7.36","33.12","11.04","11.04","29.44","age","30"
"Apr 10, 2017","9.2","18.4","18.4","13.8","32.2","age","30"
"Apr 11, 2017","5.41176470588235","21.6470588235294","16.2352941176471","16.2352941176471","32.4705882352941","age","30"
"Apr 12, 2017","20","20","12","12","28","age","30"
"Apr 13, 2017","9.2","27.6","13.8","9.2","32.2","age","30"
"Apr 14, 2017","9.2","23","13.8","13.8","32.2","age","30"
"Apr 15, 2017","8.76190476190476","21.9047619047619","13.1428571428571","17.5238095238095","30.6666666666667","age","30"
"Apr 16, 2017","7.36","25.76","18.4","14.72","25.76","age","30"
"Apr 17, 2017","8.90322580645161","26.7096774193548","8.90322580645161","17.8064516129032","29.6774193548387","age","30"
"Apr 18, 2017","9.2","32.2","18.4","13.8","18.4","age","30"
"Apr 19, 2017","12.2666666666667","27.6","12.2666666666667","18.4","21.4666666666667","age","30"
